Year,Eventnumber,Reporteddate,Incidentoperationalarea,Gridreference(confirmed),Environmentalpollutionincident(yesorno),Airenvironmentimpactlevel,Landenvironmentimpactlevel,Waterenvironmentimpactlevel,Incidentcounty,Incidentdistrict,Incidentunitary,Value
2021,1962380,01/07/2021,EastAnglia(CambridgeshireandBedfordshire),TF8995400904,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),NorfolkCounty,BrecklandDistrict,,301
2021,1962557,01/07/2021,EastAnglia(CambridgeshireandBedfordshire),SP6280332600,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),OxfordshireCounty,CherwellDistrict,,302
2021,1962603,02/07/2021,HertfordshireandNorthLondon,TQ0351391733,Yes,Category3(Minor),Category2(Significant),Category4(NoImpact),HertfordshireCounty,ThreeRiversDistrict,,303
2021,1962810,02/07/2021,Yorkshire,SE2249034737,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,LeedsDistrict,,304
2021,1962822,02/07/2021,Yorkshire,SE1940940887,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,LeedsDistrict,,305
2021,1962824,02/07/2021,DevonandCornwall,SX0831567227,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),CornwallCounty,NorthCornwallDistrict,,306
2021,1962913,02/07/2021,Yorkshire,SK4266370446,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),DerbyshireCounty,NorthEastDerbyshireDistrict,,307
2021,1963245,03/07/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SJ8912640754,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,,CityofStoke-On-Trent,308
2021,1963542,04/07/2021,Wessex,ST3763647943,Yes,Category4(NoImpact),Category4(NoImpact),Category1(Major),SomersetCounty,SedgemoorDistrict,,309
2021,1963867,05/07/2021,Yorkshire,SE1692328580,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),,BradfordDistrict,,310
2021,1963875,05/07/2021,DevonandCornwall,SX1689286662,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),CornwallCounty,NorthCornwallDistrict,,311
2021,1964019,06/07/2021,Wessex,ST6165618809,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),DorsetCounty,WestDorsetDistrict,,312
2021,1964584,07/07/2021,EastAnglia(CambridgeshireandBedfordshire),TL3233096446,Yes,Category4(NoImpact),Category2(Significant),Category4(NoImpact),CambridgeshireCounty,FenlandDistrict,,313
2021,1964738,07/07/2021,EastMidlands,SK5927016328,Yes,Category4(NoImpact),Category4(NoImpact),Category2(Significant),LeicestershireCounty,CharnwoodDistrict,,314
2021,1965394,09/07/2021,DevonandCornwall,SX4716353680,Yes,Category4(NoImpact),Category2(Significant),Category3(Minor),,,CityofPlymouth,315
2021,1965689,09/07/2021,"WestMidlands(Staffordshire,WarwickshireandWestMidlands)",SP0598479355,Yes,Category2(Significant),Category4(NoImpact),Category4(NoImpact),,BirminghamDistrict,,316
